sentence,role,embedding_preview
"For the sake of convenience, we are referring to the facts of Civil Appeal No.1328 of 2021.",Facts,[ 0.29555225  0.10574501 -0.09836408  0.49799913  0.4928789 ]...
"Civil Appeal No. 1328 of 2021 By an order of assessment dated 31.01.2005, the Assessing Officer restricted the eligible deduction under Section 80IA of the Income Tax Act, 1961 (hereinafter the Act) to the extent of business income only.",Issue,[-0.6678022  -0.2860911   0.27715605 -0.28400066  0.35772982]...
"On 23.03.2006, the Commissioner of IncomeTax (Appeal)I (hereinafter the Appellate Authority) partly allowed the Appeal filed by the Assessee and reversed the order of the Assessing Officer on the issue of the extent of deduction under Section 80IA of the Act.",Issue,[-0.33758307  0.05084757  0.13882114 -0.5921881   0.3952795 ]...
"The Income Tax Appellate Tribunal (hereinafter the Tribunal), upheld the decision of the Appellate Authority on the issue of deduction under Section 80IA.",Issue,[-0.49931818 -0.5157584  -0.32679632 -0.5389723  -0.15450539]...
The High Court refused to interfere with the Tribunals order as far as the issue on deduction under Section 80IA is concerned.,Issue,[-0.15781724  0.05358703 -0.14599286 -0.0288688  -0.0425037 ]...
"Therefore, this Appeal by the Revenue.",Facts,[-0.09501632 -0.37490836  0.09699495 -0.31697044 -0.10488115]...
This Appeal pertains to the assessment year 200203 for which the incometax return was filed by the Assessee on 31.10.2002 declaring the total income as NIL.,Facts,[-0.18173048 -0.04536833  0.18846351  0.03564389  0.140819  ]...
"The return was subsequently revised on 06.12.2002 and thereafter, on 30.03.2004.",Facts,[-0.10644262 -0.41567683  0.1829354  -0.21829143  0.03509487]...
"At the time of the assessment proceedings, the Assessee submitted a revised computation of income by revising its claim of deduction under Section 80IA of the Act.",Facts,[-0.21599476 -0.5653776   0.2675639  -0.7183573   0.13864708]...
The Assessee is in the business of generation of power and also deals with purchase and distribution of power.,Facts,[ 0.18113355  0.14960892  0.15373868 -0.16550046  0.8042812 ]...
The AssesseeCompany generated power from its power unit located at Dahanu.,Facts,[0.3378568  0.12249152 0.32066786 0.29109243 0.10605691]...
"In respect of deduction under Section 80 IA of the Act, the Assessee was asked to explain as to why the deduction should not be restricted to business income, as had been the stand of the Revenue for the assessment year 200001.",Facts,[-0.09679007 -0.6865788   0.16183046 -0.5753627   0.5420361 ]...
"The Assessee had revised its claim under Section 80IA of the Act to Rs. 546,26,01,224/, having admitted that there was an error in calculation of incometax depreciation.",Facts,[ 0.2061037  -0.26267287  0.47795522 -0.3226116   0.08831678]...
The Assessing Officer considered the revised claim of the Assessee under Section 80IA and determined the amount eligible for deduction under Section 80IA at Rs.,Facts,[ 0.10236601 -0.2845454   0.19793689 -0.746826    0.7150348 ]...
"492,78,60,973/ against the Assessees claim of Rs. 546,26,01,224/.",Facts,[ 0.13424432 -0.03815037 -0.06378017 -0.12599555  0.51963747]...
"However, the Assessing Officer stated in the assessment order that the actual deduction allowable shall be to the extent of income from business as per provisions of Section 80AB of the Act.",Facts,[-0.28676984  0.07954566  0.07683895 -0.4921952   0.40387037]...
"The business income of the Assessee was computed at Rs. 355,74,73,451/ and the gross total income at Rs. 397,37,70,178/. Inclusion of income from other sources of Rs.",Facts,[ 0.2245316  -0.21480104  0.21752957 -0.57567704  0.6960103 ]...
"41,62,96,727/ in the gross total income and deduction claimed under Chapter VI A of the Act against such gross total income was not accepted by the Assessing Officer.",Facts,[ 0.0222645   0.02694769 -0.35786572 -0.2383844   0.58198047]...
"The Assessing Officer rejected the claim of the Assessee for allowing deduction under Section 80IA of the Act, along with other deductions available to the Assessee, to the extent of gross total income and restricted the deduction allowed under Section 80IA at Rs.354,00,75,084/, by limiting the aggregate of deductions under Sections 80IA and 80IB of the Act to business income of the Assessee.",Facts,[-0.5485408 -0.5042482  0.1166987 -0.4488966  0.5540268]...
The Assessing Officer rejected the contention of the Assessee that Section 80AB of the Act is not applicable.,Facts,[-0.45405704 -0.11687903 -0.29434553  0.24388802  0.10401347]...
"It was held that Section 80AB of the Act makes it clear that for the purposes of deduction in respect of certain incomes, deduction had to be given on the income of the nature specified in the relevant section and allowed against income of that nature alone.",Facts,[ 0.17837152 -0.27738857  0.0042838  -0.56754375  0.8850803 ]...
"The Assessing Officer elaborated on this point by stating that income from business alone had to be considered for allowing any deduction computed on income from business and using the same analogy, deduction computed on income from other sources should be allowable against income from other sources only.",Facts,[-0.3551452  -0.31952885  0.19023769 -0.6289432   0.9501908 ]...
"As the deduction under Section 80IA of the Act pertains to profits and gains from a business undertaking, the deduction is allowable only against income from business.",Facts,[-0.15221491 -0.04767236  0.5003373  -0.50308543  0.70678264]...
It was held by the Assessing Officer that deduction computed under Section 80IA of the Act could not be allowed against any source other than business.,Facts,[-0.47691247 -0.18480767  0.07757276 -0.25800365  0.24717173]...
The Assessing Officer also relied upon the words that nature and shall alone in Section 80AB of the Act to hold that deduction under a relevant section has to be given to the extent of the income from that particular source only on which deduction is available.,Facts,[ 0.34828168 -0.30942377  0.16685036 -0.26478583  0.27730244]...
"In the matter before us, this would mean that deduction under Section 80 IA of the Act has to be allowed only to the extent of income from business.",Facts,[ 0.22150722  0.01283515  0.27742925 -0.67725265  0.78859663]...
It was argued by the Assessee before the Appellate Authority that the conclusion of the Assessing Officer on deduction under Section 80IA of the Act being restricted to business income needs to be set aside.,Facts,[ 0.00143587  0.03811152 -0.26983872 -0.16907784 -0.0435475 ]...
The Assessee contended that the observation of the Assessing Officer that deduction under a particular section is permissible only against income under that particular head was erroneous.,Facts,[ 0.00115686 -0.09144565 -0.0051138   0.1530728   0.39427403]...
Deductions related to various incomes under various sections of Chapter VIA have to be quantified in accordance with the respective sections.,Facts,[ 0.22524674  0.00476729  0.3924486  -0.47059304  0.9106993 ]...
The Assessee urged before the Appellate Authority that the deductions so quantified under various sections under Chapter VIA have to be aggregated and allowed against the gross total income.,Facts,[ 0.38290858  0.01404317 -0.2470387  -0.6300169   0.6465123 ]...
"Finally, the submission of the Assessee before the Appellate Authority was that restricting the deduction under Section 80IA of the Act to the extent of business income was unjustified.",Facts,[-0.6342399  -0.05168418 -0.05359032  0.11098256 -0.06470153]...
"With reference to Section 80AB, the Assessee contended that the operation of the said section related only to quantification of deduction on the basis of net income.",Facts,[-0.24117622 -0.38405207  0.10512102 -0.37731034  0.2992188 ]...
The Appellate Authority partly allowed the Appeal filed by the Assessee by an order dated 23.03.2006 and reversed the finding of the Assessing Officer on the issue of deduction under Section 80IA of the Act for the reasons stated hereinafter.,Facts,[-0.49053526 -0.27265444  0.11229096 -0.7061103   0.3099514 ]...
"In respect of Section 80AB of the Act, the Appellate Authority referred to the background of insertion of the said section with effect from 01.04.1981.",Facts,[-0.26534566 -0.06085313 -0.02436392 -0.39435992  0.07675307]...
The Appellate Authority referred to Circular No. 281 dated 22.09.1980 of the Central Board of Direct Taxes (CBDT) wherein the reason for introduction of Section 80AB was explained.,Facts,[-0.00195037 -0.6585786  -0.29811114 -0.03084311  0.6220871 ]...
"The Supreme Court in the case of Cloth Traders (P) Ltd. v. Additional CIT, GujaratI (1979) 3 SCC 538 held that deduction under Section 80M of the Act, which deals with deduction in respect of certain intercorporate dividends, was allowable on the gross amount of the dividends received.",Facts,[ 0.07368668 -0.9140088  -0.03501282 -0.3618149   0.62872475]...
"It was decided to undo the decision of this Court as it was contrary to the legislative intent, which was that deduction under Section 80M was to be allowed on the dividend income as computed under the Act, i.e., on the net income after deduction of admissible expenses.",Facts,[ 0.01487022 -0.25390002  0.0939184  -0.42099842  0.15081131]...
The Appellate Authority proceeded to hold that Section 80AB places a ceiling on the quantum of deductions in respect of incomes contained in PartC of Chapter VIA.,Facts,[ 0.00420807 -0.44633272  0.18267024 -0.42581707  0.8274744 ]...
"Such deductions are to be computed on the net eligible income, which will be deemed to be included in the gross total income.",Facts,[ 0.17068206  0.05392325  0.21819444 -0.2574307   1.0174259 ]...
